,id,rank,country_full,confederation,rank_date
49153,43892,107,Zimbabwe,CAF,2015-01-08
49154,43841,133,Vietnam,AFC,2015-01-08
49155,43956,132,Liechtenstein,UEFA,2015-01-08
49156,43814,156,Hong Kong,AFC,2015-01-08
49157,43905,155,Grenada,CONCACAF,2015-01-08
49158,43827,154,Malaysia,AFC,2015-01-08
49159,20010,153,New Caledonia,OFC,2015-01-08
49160,43999,152,Kyrgyz Republic,AFC,2015-01-08
49161,43838,151,Syria,AFC,2015-01-08
49162,43867,147,Madagascar,CAF,2015-01-08
49163,44004,147,Turkmenistan,AFC,2015-01-08
49164,43959,147,Malta,UEFA,2015-01-08
49165,43852,146,Chad,CAF,2015-01-08
49166,43821,150,Korea DPR,AFC,2015-01-08
49167,43839,144,Thailand,AFC,2015-01-08
49168,43862,133,Guinea-Bissau,CAF,2015-01-08
49169,43851,145,Central African Republic,CAF,2015-01-08
49170,43994,136,Azerbaijan,UEFA,2015-01-08
49171,44003,136,Tajikistan,AFC,2015-01-08
49172,43870,138,Mauritania,CAF,2015-01-08
49173,43978,135,New Zealand,OFC,2015-01-08
49174,43917,140,St. Lucia,CONCACAF,2015-01-08
49175,43829,141,Myanmar,AFC,2015-01-08
49176,20000,142,Afghanistan,AFC,2015-01-08
49177,43896,143,Barbados,CONCACAF,2015-01-08
49178,44027,139,Kazakhstan,UEFA,2015-01-08
49179,43953,67,Republic of Ireland,UEFA,2015-02-12
49180,43887,75,Togo,CAF,2015-02-12
49181,43933,74,Armenia,UEFA,2015-02-12
49182,43945,73,Finland,UEFA,2015-02-12
49183,43877,72,Rwanda,CAF,2015-02-12
49184,44005,71,Uzbekistan,AFC,2015-02-12
49185,43936,70,Bulgaria,UEFA,2015-02-12
49186,43961,69,Norway,UEFA,2015-02-12
49187,43847,68,Burkina Faso,CAF,2015-02-12
49188,43840,66,United Arab Emirates,AFC,2015-02-12
49189,43822,54,Korea Republic,AFC,2015-02-12
49190,43932,63,Albania,UEFA,2015-02-12
49191,43976,63,Australia,AFC,2015-02-12
49192,43920,62,Trinidad and Tobago,CONCACAF,2015-02-12
49193,43914,61,Panama,CONCACAF,2015-02-12
49194,43891,60,Zambia,CAF,2015-02-12
49195,43929,59,Peru,CONMEBOL,2015-02-12
49196,43858,58,Gabon,CAF,2015-02-12
49197,43855,57,Egypt,CAF,2015-02-12
49198,43883,56,South Africa,CAF,2015-02-12
49199,43819,55,Japan,AFC,2015-02-12
49200,999,65,Montenegro,UEFA,2015-02-12
49201,43889,76,Uganda,CAF,2015-02-12
49202,43872,88,Morocco,CAF,2015-02-12
49203,43908,78,Haiti,CONCACAF,2015-02-12
49204,43869,53,Mali,CAF,2015-02-12
49205,43937,101,Belarus,UEFA,2015-02-12
49206,43955,100,Latvia,UEFA,2015-02-12
49207,1882218,99,Antigua and Barbuda,CONCACAF,2015-02-12
49208,43835,98,Saudi Arabia,AFC,2015-02-12
49209,43820,97,Jordan,AFC,2015-02-12
49210,43957,96,Lithuania,UEFA,2015-02-12
49211,43845,95,Benin,CAF,2015-02-12
49212,43818,94,Iraq,AFC,2015-02-12
49213,43868,93,Malawi,CAF,2015-02-12
49214,43923,92,Bolivia,CONMEBOL,2015-02-12
49215,43831,91,Oman,AFC,2015-02-12
49216,43873,90,Mozambique,CAF,2015-02-12
49217,43939,89,Cyprus,UEFA,2015-02-12
49218,43904,87,El Salvador,CONCACAF,2015-02-12
49219,43881,86,Sierra Leone,CAF,2015-02-12
49220,43943,85,Estonia,UEFA,2015-02-12
49221,43844,84,Angola,CAF,2015-02-12
49222,43906,82,Guatemala,CONCACAF,2015-02-12
49223,43812,82,China PR,AFC,2015-02-12
49224,43928,79,Paraguay,CONMEBOL,2015-02-12
49225,43910,79,Jamaica,CONCACAF,2015-02-12
49226,43931,79,Venezuela,CONMEBOL,2015-02-12
49227,43909,77,Honduras,CONCACAF,2015-02-12
49228,43972,52,Turkey,UEFA,2015-02-12
49229,43888,26,Tunisia,CAF,2015-02-12
49230,43856,49,Equatorial Guinea,CAF,2015-02-12
49231,43911,21,Mexico,CONCACAF,2015-02-12
49232,43854,20,Côte d'Ivoire,CAF,2015-02-12
49233,43938,19,Croatia,UEFA,2015-02-12
49234,43843,18,Algeria,CAF,2015-02-12
49235,43995,17,Czech Republic,UEFA,2015-02-12
49236,43964,16,Romania,UEFA,2015-02-12
49237,43942,15,England,UEFA,2015-02-12
49238,43925,14,Chile,CONMEBOL,2015-02-12
49239,43901,13,Costa Rica,CONCACAF,2015-02-12
49240,43954,12,Italy,UEFA,2015-02-12
49241,44002,22,Slovakia,UEFA,2015-02-12
49242,43971,11,Switzerland,UEFA,2015-02-12
49243,43930,9,Uruguay,CONMEBOL,2015-02-12
49244,43946,8,France,UEFA,2015-02-12
49245,43963,7,Portugal,UEFA,2015-02-12
49246,43924,6,Brazil,CONMEBOL,2015-02-12
49247,43960,5,Netherlands,UEFA,2015-02-12
49248,43935,4,Belgium,UEFA,2015-02-12
49249,43926,3,Colombia,CONMEBOL,2015-02-12
49250,43922,2,Argentina,CONMEBOL,2015-02-12
49251,43948,1,Germany,UEFA,2015-02-12
49252,43857,102,Ethiopia,CAF,2015-02-12
49253,43969,10,Spain,UEFA,2015-02-12
49254,43934,23,Austria,UEFA,2015-02-12
49255,43949,24,Greece,UEFA,2015-02-12
49256,43860,25,Ghana,CAF,2015-02-12
49257,43853,49,Congo,CAF,2015-02-12
49258,43950,48,Hungary,UEFA,2015-02-12
49259,43968,47,Slovenia,UEFA,2015-02-12
49260,20014,46,Congo DR,CAF,2015-02-12
49261,43849,45,Cameroon,CAF,2015-02-12
49262,43970,44,Sweden,UEFA,2015-02-12
49263,43861,43,Guinea,CAF,2015-02-12
49264,43876,42,Nigeria,CAF,2015-02-12
49265,43817,41,IR Iran,AFC,2015-02-12
49266,43962,40,Poland,UEFA,2015-02-12
49267,1902465,39,Serbia,UEFA,2015-02-12
49268,43967,38,Scotland,UEFA,2015-02-12
49269,43951,37,Iceland,UEFA,2015-02-12
49270,43879,36,Senegal,CAF,2015-02-12
49271,43850,35,Cabo Verde,CAF,2015-02-12
49272,43974,34,Wales,UEFA,2015-02-12
49273,43965,33,Russia,UEFA,2015-02-12
49274,43984,32,Israel,UEFA,2015-02-12
49275,43921,31,USA,CONCACAF,2015-02-12
49276,44037,30,Bosnia and Herzegovina,UEFA,2015-02-12
49277,43927,29,Ecuador,CONMEBOL,2015-02-12
49278,43941,28,Denmark,UEFA,2015-02-12
49279,43973,27,Ukraine,UEFA,2015-02-12
49280,43952,51,Northern Ireland,UEFA,2015-02-12
49281,43808,103,Bahrain,AFC,2015-02-12
49282,44003,137,Tajikistan,AFC,2015-02-12
49283,43944,105,Faroe Islands,UEFA,2015-02-12
49284,43966,180,San Marino,UEFA,2015-02-12
49285,43898,180,Bermuda,CONCACAF,2015-02-12
49286,43842,179,Yemen,AFC,2015-02-12
49287,43913,177,Nicaragua,CONCACAF,2015-02-12
49288,43880,177,Seychelles,CAF,2015-02-12
49289,20011,176,Turks and Caicos Islands,CONCACAF,2015-02-12
49290,43878,174,São Tomé and Príncipe,CAF,2015-02-12
49291,1896913,174,Comoros,CAF,2015-02-12
49292,43837,173,Sri Lanka,AFC,2015-02-12
49293,43832,171,Pakistan,AFC,2015-02-12
49294,43997,180,Dominica,CONCACAF,2015-02-12
